Model,Feature Selection,Accuracy,Precision,Recall,F1-Score
Logistic Regression,Without Feature Selection,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
Random Forest,Without Feature Selection,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
Logistic Regression,With Feature Selection,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394
Random Forest,With Feature Selection,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
